region,label,region,type_
Arcopallium,1,Striatum,Arcopallium
Arcopallium,2,Globus pallidus,Arcopallium
Arcopallium,3,N. taeniae amygdala (see olfactory system),Arcopallium
Olfactory,1,Olfactory Bulb,Olfactory
Olfactory,2,Cortex prepiriformis,Olfactory
Olfactory,3,Cortex piriformis,Olfactory
Auditory1,1,Angularis,Auditory1
Auditory1,2,Laminaris,Auditory1
Auditory1,3,Magnocellularis,Auditory1
Auditory1,4,Arcopallium MLd,Auditory1
Auditory1,5,Ovoidalis,Auditory1
Auditory1,6,Field L2,Auditory1
Auditory2,1,Oliva superior,Auditory2
Auditory2,2,LLv,Auditory2
Auditory2,3,LLd,Auditory2
Visual_thalamofugal,1,Rotundus,Visual_thalamofugal
Visual_thalamofugal,2,GLd_left,Visual_thalamofugal
Visual_thalamofugal,3,GLd_right,Visual_thalamofugal
Visual_wulst,1,HA,Visual_wulst
Visual_wulst,2,HI - HD,Visual_wulst
Visual_aos,1,nBOR,Visual_aos
Visual_aos,2,Lentiformis mesencephali,Visual_aos
Visual_isthmic,1,Imc,Visual_isthmic
Visual_isthmic,2,Ipc,Visual_isthmic
Visual_isthmic,3,SLu,Visual_isthmic
Somatosensory_trigeminal,1,PrV,Somatosensory_trigeminal
Somatosensory_trigeminal,2,Basalis,Somatosensory_trigeminal
Somatosensory_wulst,1,HA,Somatosensory_wulst
Somatosensory_wulst,2,HI -HD,Somatosensory_wulst
Somatosensory_spinal_system_and_body_representation,1,Cuneatus Gracilis,Somatosensory_spinal_system_and_body_representation
Somatosensory_spinal_system_and_body_representation,2,DLP,Somatosensory_spinal_system_and_body_representation
Somatosensory_spinal_system_and_body_representation,3,DIVA,Somatosensory_spinal_system_and_body_representation
